GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,174,842,20.67,2,Rachel Glass,I affirm I am a Democrat.,68,64.76
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,174,842,20.67,1,Sarah Leon,I affirm I am a Democrat.,37,35.24
94,1520,Precinct Committee Officer,PRECINCT,SEA 46-2094,Precinct Committee Officer - Democratic,89,274,32.48,2,Michele Bat-or,I affirm I am a Democrat.,9,19.15
94,1520,Precinct Committee Officer,PRECINCT,SEA 46-2094,Precinct Committee Officer - Democratic,89,274,32.48,1,Cindy S Keyser,I affirm I am a Democrat.,38,80.85
136,900,Precinct Committee Officer,PRECINCT,DUV 45-3219,Precinct Committee Officer - Republican,162,817,19.83,2,Yuping Liu,I affirm I am a Republican.,8,27.59
136,900,Precinct Committee Officer,PRECINCT,DUV 45-3219,Precinct Committee Officer - Republican,162,817,19.83,1,Joseph H. Vandal,I affirm I am a Republican.,21,72.41
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,173,760,22.76,2,Mariah Odessa Mitchell,I affirm I am a Democrat.,41,44.57
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,173,760,22.76,3,Shelby Leo Green III,I affirm I am a Democrat.,21,22.83
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,173,760,22.76,1,Richard O'Neill,I affirm I am a Democrat.,30,32.61
51,175,State,Legislative,Legislative District No. 5,State Senator,28560,107598,26.54,1,Bill Ramos,(Prefers Democratic Party),14935,53.85
51,175,State,Legislative,Legislative District No. 5,State Senator,28560,107598,26.54,2,Chad Magendanz,(Prefers Republican Party),12782,46.08
51,175,State,Legislative,Legislative District No. 5,State Senator,28560,107598,26.54,12,Write-in,,19,0.07
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,13,Bob Ferguson,(Prefers Democratic Party),202297,60.69
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,26,A.L. Brown,(Prefers Republican Party),351,0.11
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,24,Alan Makayev,(Prefers Nonsense Busters Party),141,0.04
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,17,Don L Rivers,(Prefers Democratic Party),1370,0.41
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,16,Dave Reichert,(Prefers Republican Party),69156,20.75
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,5,Jeff Curry,(Prefers Independent Party),556,0.17
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,28,Bill Hirt,(Prefers Republican Party),174,0.05
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,18,Jim Clark,(States No Party Preference),267,0.08
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,12,Ricky Anthony,(Prefers Democratic Party),839,0.25
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,7,Mark Mullet,(Prefers Democratic Party),26529,7.96
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,23,William Combs,(Prefers Independent Party),113,0.03
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,15,Michael DePaula,(Prefers Libertarian Party),454,0.14
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,6,Alex Tsimerman,(Prefers Standup-America Party),164,0.05
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,10,Andre Stackhouse,(Prefers Green Party),2135,0.64
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,4,Cassondra Magdalene Hanson,(Prefers Democratic Party),3191,0.96
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,30,Semi Bird,(Prefers Republican Party),10438,3.13
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,40,Write-in,,199,0.06
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,22,Frank Dare,(Prefers Independent Party),119,0.04
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,25,Brian Bogen,(Prefers Nonpartisan Party),653,0.20
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,29,Rosetta Marshall-Williams,(Prefers Independence Party),415,0.12
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,27,Brad Mjelde,(States No Party Preference),146,0.04
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,14,Chaytan Inman,(Prefers Democratic Party),1044,0.31
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,1,Jim Daniel,(Prefers Republican Party),3224,0.97
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,9,Jennifer Hoover,(Prefers Republican Party),1540,0.46
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,20,Leon A Lawson,(Prefers Trump Republican Party),2444,0.73
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,19,Fred Grant,(Prefers Democratic Party),831,0.25
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,21,Edward Cale IV,(Prefers Democratic Party),346,0.10
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,8,Martin Lee Wheeler,(Prefers Republican Party),625,0.19
6,60,State,State Executive,State of Washington,Governor,336061,1391729,24.15,11,EL'ona Kearney,(Prefers Democratic Party),3572,1.07
166,1670,Precinct Committee Officer,PRECINCT,SEA 46-2357,Precinct Committee Officer - Democratic,140,476,29.41,2,Jim Acker,I affirm I am a Democrat.,12,17.39
166,1670,Precinct Committee Officer,PRECINCT,SEA 46-2357,Precinct Committee Officer - Democratic,140,476,29.41,1,Sharon Perlin,I affirm I am a Democrat.,57,82.61
92,1080,Precinct Committee Officer,PRECINCT,RED 48-2789,Precinct Committee Officer - Democratic,82,615,13.33,2,Zeke Tan,I affirm I am a Democrat.,15,40.54
92,1080,Precinct Committee Officer,PRECINCT,RED 48-2789,Precinct Committee Officer - Democratic,82,615,13.33,1,Scott Aldridge,I affirm I am a Democrat.,22,59.46
110,730,Precinct Committee Officer,PRECINCT,BEL 48-0218,Precinct Committee Officer - Democratic,169,634,26.66,2,Hanna Floss,I affirm I am a Democrat.,54,69.23
110,730,Precinct Committee Officer,PRECINCT,BEL 48-0218,Precinct Committee Officer - Democratic,169,634,26.66,1,Brett Parmacek,I affirm I am a Democrat.,24,30.77
148,1490,Precinct Committee Officer,PRECINCT,SEA 46-1406,Precinct Committee Officer - Democratic,168,398,42.21,2,Scott Alspach,I affirm I am a Democrat.,40,42.55
148,1490,Precinct Committee Officer,PRECINCT,SEA 46-1406,Precinct Committee Officer - Democratic,168,398,42.21,1,R. Elisabeth Burton,I affirm I am a Democrat.,54,57.45
124,1380,Precinct Committee Officer,PRECINCT,SEA 43-1889,Precinct Committee Officer - Democratic,129,484,26.65,2,Elaine Nonneman,I affirm I am a Democrat.,38,64.41
124,1380,Precinct Committee Officer,PRECINCT,SEA 43-1889,Precinct Committee Officer - Democratic,129,484,26.65,1,Alexander Gray,I affirm I am a Democrat.,21,35.59
19,485,State,Legislative,Legislative District No. 47,Representative Position No. 2,19938,90629,22.00,2,Chris Stearns,(Prefers Democratic Party),10705,55.42
19,485,State,Legislative,Legislative District No. 47,Representative Position No. 2,19938,90629,22.00,1,Ted Cooke,(Prefers Republican Party),5372,27.81
19,485,State,Legislative,Legislative District No. 47,Representative Position No. 2,19938,90629,22.00,13,Write-in,,24,0.12
19,485,State,Legislative,Legislative District No. 47,Representative Position No. 2,19938,90629,22.00,3,Brian Lott,(Prefers Republican Party),3214,16.64
147,800,Precinct Committee Officer,PRECINCT,BUR 33-0489,Precinct Committee Officer - Democratic,179,457,39.17,1,Mike Heinisch,I affirm I am a Democrat.,43,54.43
147,800,Precinct Committee Officer,PRECINCT,BUR 33-0489,Precinct Committee Officer - Democratic,179,457,39.17,2,Jeb Binns,I affirm I am a Democrat.,36,45.57
105,1630,Precinct Committee Officer,PRECINCT,SEA 46-2326,Precinct Committee Officer - Republican,120,533,22.51,2,Sandy Stephens,I affirm I am a Republican.,8,44.44
105,1630,Precinct Committee Officer,PRECINCT,SEA 46-2326,Precinct Committee Officer - Republican,120,533,22.51,1,Timothy Lassley,I affirm I am a Republican.,10,55.56
114,1230,Precinct Committee Officer,PRECINCT,SEA 36-2529,Precinct Committee Officer - Republican,146,473,30.87,1,Claire Brossmann,I affirm I am a Republican.,11,84.62
114,1230,Precinct Committee Officer,PRECINCT,SEA 36-2529,Precinct Committee Officer - Republican,146,473,30.87,2,Udo Brossmann,I affirm I am a Republican.,2,15.38
167,650,Precinct Committee Officer,PRECINCT,B-D 05-3976,Precinct Committee Officer - Democratic,257,947,27.14,1,Maureen C Schnell,I affirm I am a Democrat.,91,81.98
167,650,Precinct Committee Officer,PRECINCT,B-D 05-3976,Precinct Committee Officer - Democratic,257,947,27.14,2,Waylon Menzia,I affirm I am a Democrat.,20,18.02
168,1160,Precinct Committee Officer,PRECINCT,SEA 34-1249,Precinct Committee Officer - Democratic,119,690,17.25,1,Christian Cahua,I affirm I am a Democrat.,36,63.16
168,1160,Precinct Committee Officer,PRECINCT,SEA 34-1249,Precinct Committee Officer - Democratic,119,690,17.25,2,Drew Sayers,I affirm I am a Democrat.,21,36.84
43,430,State,Legislative,Legislative District No. 43,Representative Position No. 2,22740,94058,24.18,3,Daniel Carusello,(Prefers Democratic Party),3611,17.34
43,430,State,Legislative,Legislative District No. 43,Representative Position No. 2,22740,94058,24.18,2,Shaun Scott,(Prefers Democratic Party),11409,54.77
43,430,State,Legislative,Legislative District No. 43,Representative Position No. 2,22740,94058,24.18,14,Write-in,,211,1.01
43,430,State,Legislative,Legislative District No. 43,Representative Position No. 2,22740,94058,24.18,4,Andrea Suarez,(Prefers Democratic Party),4763,22.87
43,430,State,Legislative,Legislative District No. 43,Representative Position No. 2,22740,94058,24.18,1,Stephanie LLoyd-Agnew,(Prefers Democrat Party),835,4.01
137,1830,Precinct Committee Officer,PRECINCT,SHL 32-1053,Precinct Committee Officer - Republican,115,377,30.50,2,Ping Liu,I affirm I am a Republican.,9,26.47
137,1830,Precinct Committee Officer,PRECINCT,SHL 32-1053,Precinct Committee Officer - Republican,115,377,30.50,1,Laura Steinmetz,I affirm I am a Republican.,25,73.53
174,1840,Precinct Committee Officer,PRECINCT,SHL 32-1210,Precinct Committee Officer - Democratic,207,786,26.34,2,Hammad Hashmi,I affirm I am a Democrat.,22,18.64
174,1840,Precinct Committee Officer,PRECINCT,SHL 32-1210,Precinct Committee Officer - Democratic,207,786,26.34,1,Eric Scheir,I affirm I am a Democrat.,96,81.36
123,1110,Precinct Committee Officer,PRECINCT,RIDGE,Precinct Committee Officer - Democratic,164,908,18.06,1,Andee Sane,I affirm I am a Democrat.,41,48.24
123,1110,Precinct Committee Officer,PRECINCT,RIDGE,Precinct Committee Officer - Democratic,164,908,18.06,2,Nicholas Montgomery,I affirm I am a Democrat.,44,51.76
122,890,Precinct Committee Officer,PRECINCT,DES 33-2820,Precinct Committee Officer - Democratic,70,533,13.13,2,Rebecca Alexander,I affirm I am a Democrat.,23,69.70
122,890,Precinct Committee Officer,PRECINCT,DES 33-2820,Precinct Committee Officer - Democratic,70,533,13.13,1,Willie Mills,I affirm I am a Democrat.,10,30.30
90,1060,Precinct Committee Officer,PRECINCT,RED 48-0950,Precinct Committee Officer - Democratic,96,523,18.36,2,Mary G Wirta,I affirm I am a Democrat.,29,61.70
90,1060,Precinct Committee Officer,PRECINCT,RED 48-0950,Precinct Committee Officer - Democratic,96,523,18.36,1,Vikram Garlapati,I affirm I am a Democrat.,18,38.30
133,740,Precinct Committee Officer,PRECINCT,BEL 48-0221,Precinct Committee Officer - Republican,136,687,19.80,1,John E Carlson,I affirm I am a Republican.,25,78.13
133,740,Precinct Committee Officer,PRECINCT,BEL 48-0221,Precinct Committee Officer - Republican,136,687,19.80,2,Sachin Lande,I affirm I am a Republican.,7,21.88
66,790,Precinct Committee Officer,PRECINCT,BUR 33-0311,Precinct Committee Officer - Democratic,231,664,34.79,2,Sabrina Roach,I affirm I am a Democrat.,70,44.30
66,790,Precinct Committee Officer,PRECINCT,BUR 33-0311,Precinct Committee Officer - Democratic,231,664,34.79,1,Linda Akey,I affirm I am a Democrat.,88,55.70
142,1300,Precinct Committee Officer,PRECINCT,SEA 37-3580,Precinct Committee Officer - Democratic,117,536,21.83,2,James Lucking,I affirm I am a Democrat.,23,33.82
142,1300,Precinct Committee Officer,PRECINCT,SEA 37-3580,Precinct Committee Officer - Democratic,117,536,21.83,1,Fran Wood,I affirm I am a Democrat.,45,66.18
67,1200,Precinct Committee Officer,PRECINCT,SEA 36-1398,Precinct Committee Officer - Democratic,138,609,22.66,1,Julia Lain,I affirm I am a Democrat.,45,69.23
67,1200,Precinct Committee Officer,PRECINCT,SEA 36-1398,Precinct Committee Officer - Democratic,138,609,22.66,2,Mackenzie McAninch,I affirm I am a Democrat.,20,30.77
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,2,Dr Raul Garcia,(Prefers GOP Party),44178,13.36
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,8,Scott Nazarino,(Prefers Republican Party),12175,3.68
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,7,Henry Clay Dennison,(Prefers Socialist Workers Party),1405,0.42
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,4,Maria Cantwell,(Prefers Democratic Party),244176,73.84
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,6,Isaac A Holyk,(Prefers Republican Party),8916,2.70
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,11,Goodspaceguy,(Prefers Republican Party),2341,0.71
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,10,Thor Amundson,(Prefers Independent Party),1183,0.36
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,5,Chuck Jackson,(Prefers Independent Party),2393,0.72
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,21,Write-in,,495,0.15
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,3,David Tilton,(Prefers Non-Partisan Party),2078,0.63
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,9,Paul Lawrence Giesick,(Prefers Democratic Party),2475,0.75
1,10,Federal,Federal,Federal,United States Senator,336061,1391729,24.15,1,Mel Ram,(Prefers Republican Party),8853,2.68
17,170,State,Legislative,Legislative District No. 1,Representative Position No. 2,15380,61314,25.08,1,Shelley Kloba,(Prefers Democratic Party),11376,96.19
17,170,State,Legislative,Legislative District No. 1,Representative Position No. 2,15380,61314,25.08,11,Write-in,,450,3.81
59,590,Special Purpose District,Fire,King County Fire Protection District No. 16,Proposition No. 1,6769,26096,25.94,2,No,,2393,37.08
59,590,Special Purpose District,Fire,King County Fire Protection District No. 16,Proposition No. 1,6769,26096,25.94,1,Yes,,4061,62.92
120,1770,Precinct Committee Officer,PRECINCT,SET 33-3104,Precinct Committee Officer - Democratic,142,653,21.75,2,James W. Lovell,I affirm I am a Democrat.,43,51.81
120,1770,Precinct Committee Officer,PRECINCT,SET 33-3104,Precinct Committee Officer - Democratic,142,653,21.75,1,Katie Kresly,I affirm I am a Democrat.,40,48.19
5,50,Federal,Congressional,Congressional District No. 9,United States Representative,92158,432277,21.32,15,Write-in,,185,0.21
5,50,Federal,Congressional,Congressional District No. 9,United States Representative,92158,432277,21.32,4,Mark Greene,(Prefers Republican Party),6082,6.81
5,50,Federal,Congressional,Congressional District No. 9,United States Representative,92158,432277,21.32,1,Melissa Chaudhry,(Prefers Democratic Party),15954,17.85
5,50,Federal,Congressional,Congressional District No. 9,United States Representative,92158,432277,21.32,3,David Ishii,(Prefers Bipartisan Party),628,0.70
5,50,Federal,Congressional,Congressional District No. 9,United States Representative,92158,432277,21.32,2,Paul Martin,(Prefers Republican Party),17023,19.05
5,50,Federal,Congressional,Congressional District No. 9,United States Representative,92158,432277,21.32,5,Adam Smith,(Prefers Democratic Party),49487,55.38
37,370,State,Legislative,Legislative District No. 37,Representative Position No. 1,21255,100928,21.06,11,Write-in,,431,2.36
37,370,State,Legislative,Legislative District No. 37,Representative Position No. 1,21255,100928,21.06,1,Sharon Tomiko Santos,(Prefers Democratic Party),17856,97.64
70,690,Precinct Committee Officer,PRECINCT,BEL 41-3371,Precinct Committee Officer - Republican,154,710,21.69,2,Curt Maier,I affirm I am a Republican.,26,74.29
70,690,Precinct Committee Officer,PRECINCT,BEL 41-3371,Precinct Committee Officer - Republican,154,710,21.69,1,Xia Currie,I affirm I am a Republican.,9,25.71
185,1550,Precinct Committee Officer,PRECINCT,SEA 46-2252,Precinct Committee Officer - Democratic,83,294,28.23,1,Paul Nacamuli,I affirm I am a Democrat.,28,59.57
185,1550,Precinct Committee Officer,PRECINCT,SEA 46-2252,Precinct Committee Officer - Democratic,83,294,28.23,2,Frank Field,I affirm I am a Democrat.,19,40.43
21,210,State,Legislative,Legislative District No. 11,Representative Position No. 1,17699,87958,20.12,1,David Hackney,(Prefers Democratic Party),12898,94.57
21,210,State,Legislative,Legislative District No. 11,Representative Position No. 1,17699,87958,20.12,11,Write-in,,741,5.43
158,1580,Precinct Committee Officer,PRECINCT,SEA 46-2286,Precinct Committee Officer - Democratic,161,475,33.89,1,Cat Munsen,I affirm I am a Democrat.,48,59.26
158,1580,Precinct Committee Officer,PRECINCT,SEA 46-2286,Precinct Committee Officer - Democratic,161,475,33.89,2,David G Volk,I affirm I am a Democrat.,33,40.74
97,1100,Precinct Committee Officer,PRECINCT,RED 48-3415,Precinct Committee Officer - Democratic,155,858,18.07,1,Osman Salahuddin,I affirm I am a Democrat.,54,65.06
97,1100,Precinct Committee Officer,PRECINCT,RED 48-3415,Precinct Committee Officer - Democratic,155,858,18.07,2,Robin Kimzey,I affirm I am a Democrat.,29,34.94
47,470,State,Legislative,Legislative District No. 46,Representative Position No. 2,25560,102587,24.92,1,Darya Farivar,(Prefers Democratic Party),21180,87.59
47,470,State,Legislative,Legislative District No. 46,Representative Position No. 2,25560,102587,24.92,12,Write-in,,60,0.25
47,470,State,Legislative,Legislative District No. 46,Representative Position No. 2,25560,102587,24.92,2,Simone Barron,(Prefers Republican Party),2941,12.16
132,1000,Precinct Committee Officer,PRECINCT,NEW 41-1115,Precinct Committee Officer - Republican,176,764,23.04,2,David Witham,I affirm I am a Republican.,31,68.89
132,1000,Precinct Committee Officer,PRECINCT,NEW 41-1115,Precinct Committee Officer - Republican,176,764,23.04,1,Yingzhang Chen,I affirm I am a Republican.,14,31.11
171,1440,Precinct Committee Officer,PRECINCT,SEA 46-1269,Precinct Committee Officer - Democratic,116,394,29.44,1,Majken Ryherd,I affirm I am a Democrat.,43,79.63
171,1440,Precinct Committee Officer,PRECINCT,SEA 46-1269,Precinct Committee Officer - Democratic,116,394,29.44,2,Mark Hennon,I affirm I am a Democrat.,11,20.37
87,670,Precinct Committee Officer,PRECINCT,BEL 41-2429,Precinct Committee Officer - Democratic,194,816,23.77,1,Sonja Ross,I affirm I am a Democrat.,33,37.08
87,670,Precinct Committee Officer,PRECINCT,BEL 41-2429,Precinct Committee Officer - Democratic,194,816,23.77,2,Kat Pipkin,I affirm I am a Democrat.,56,62.92
24,240,State,Legislative,Legislative District No. 12,Representative Position No. 2,6088,26781,22.73,13,Write-in,,292,6.37
24,240,State,Legislative,Legislative District No. 12,Representative Position No. 2,6088,26781,22.73,3,Daniel Scott,(Prefers Republican Party),1393,30.38
24,240,State,Legislative,Legislative District No. 12,Representative Position No. 2,6088,26781,22.73,2,Mike Steele,(Prefers Republican Party),2901,63.26
69,640,Precinct Committee Officer,PRECINCT,BACUS,Precinct Committee Officer - Republican,192,761,25.23,1,Sayra Hill,I affirm I am a Republican.,17,37.78
69,640,Precinct Committee Officer,PRECINCT,BACUS,Precinct Committee Officer - Republican,192,761,25.23,2,Barbara Hagstrom,I affirm I am a Republican.,28,62.22
130,980,Precinct Committee Officer,PRECINCT,MARIAN,Precinct Committee Officer - Democratic,95,646,14.71,2,Danielle Davis,I affirm I am a Democrat.,43,66.15
130,980,Precinct Committee Officer,PRECINCT,MARIAN,Precinct Committee Officer - Democratic,95,646,14.71,1,Casper Carrillo,I affirm I am a Democrat.,22,33.85
93,1610,Precinct Committee Officer,PRECINCT,SEA 46-2314,Precinct Committee Officer - Democratic,130,423,30.73,1,Nancy Lichter,I affirm I am a Democrat.,64,70.33
93,1610,Precinct Committee Officer,PRECINCT,SEA 46-2314,Precinct Committee Officer - Democratic,130,423,30.73,2,Lori Lynn Mahieu,I affirm I am a Democrat.,27,29.67
2,20,Federal,Congressional,Congressional District No. 1,United States Representative,43423,175381,24.76,1,Orion Webster,(Prefers Republican Party),2730,6.44
2,20,Federal,Congressional,Congressional District No. 1,United States Representative,43423,175381,24.76,4,Suzan DelBene,(Prefers Democratic Party),30979,73.04
2,20,Federal,Congressional,Congressional District No. 1,United States Representative,43423,175381,24.76,6,Jeb Brewer,(Prefers Republican Party),3106,7.32
2,20,Federal,Congressional,Congressional District No. 1,United States Representative,43423,175381,24.76,5,Matt Heines,(Prefers Trump Republican Party),1662,3.92
2,20,Federal,Congressional,Congressional District No. 1,United States Representative,43423,175381,24.76,16,Write-in,,102,0.24
2,20,Federal,Congressional,Congressional District No. 1,United States Representative,43423,175381,24.76,2,Mary Silva,(Prefers Republican Party),2212,5.22
2,20,Federal,Congressional,Congressional District No. 1,United States Representative,43423,175381,24.76,3,Derek Chartrand,(Prefers Calm Rational GOP Party),1620,3.82
145,990,Precinct Committee Officer,PRECINCT,MERLOT,Precinct Committee Officer - Republican,132,495,26.67,1,Jeannie Kriha,I affirm I am a Republican.,22,61.11
145,990,Precinct Committee Officer,PRECINCT,MERLOT,Precinct Committee Officer - Republican,132,495,26.67,2,Deidre Britt Sagrelius,I affirm I am a Republican.,14,38.89
39,390,State,Legislative,Legislative District No. 41,State Senator,24576,99291,24.75,1,Lisa Wellman,(Prefers Democratic Party),17230,73.49
39,390,State,Legislative,Legislative District No. 41,State Senator,24576,99291,24.75,12,Write-in,,65,0.28
39,390,State,Legislative,Legislative District No. 41,State Senator,24576,99291,24.75,2,Jaskaran Singh Sarao,(Prefers Republican Party),6151,26.23
119,1570,Precinct Committee Officer,PRECINCT,SEA 46-2271,Precinct Committee Officer - Democratic,148,500,29.60,2,Margaret Cary,I affirm I am a Democrat.,52,72.22
119,1570,Precinct Committee Officer,PRECINCT,SEA 46-2271,Precinct Committee Officer - Democratic,148,500,29.60,1,Don Doering,I affirm I am a Democrat.,20,27.78
29,290,State,Legislative,Legislative District No. 32,Representative Position No. 1,15045,51987,28.94,12,Write-in,,15,0.10
29,290,State,Legislative,Legislative District No. 32,Representative Position No. 1,15045,51987,28.94,2,Lisa Rezac,(Prefers Republican Party),2901,19.90
29,290,State,Legislative,Legislative District No. 32,Representative Position No. 1,15045,51987,28.94,1,Cindy Ryu,(Prefers Democratic Party),11659,79.99
169,720,Precinct Committee Officer,PRECINCT,BEL 48-0212,Precinct Committee Officer - Democratic,169,701,24.11,2,Ron Lovell,I affirm I am a Democrat.,93,82.30
169,720,Precinct Committee Officer,PRECINCT,BEL 48-0212,Precinct Committee Officer - Democratic,169,701,24.11,1,Nagesh Pabbisetty,I affirm I am a Democrat.,20,17.70
186,840,Precinct Committee Officer,PRECINCT,COV 47-0566,Precinct Committee Officer - Republican,71,434,16.36,1,Lisa Templeton,I affirm I am a Republican.,29,78.38
186,840,Precinct Committee Officer,PRECINCT,COV 47-0566,Precinct Committee Officer - Republican,71,434,16.36,2,Kimberley Pitcher,I affirm I am a Republican.,8,21.62
155,1810,Precinct Committee Officer,PRECINCT,SHL 32-0474,Precinct Committee Officer - Democratic,98,360,27.22,2,Bradley Cabe,I affirm I am a Democrat.,22,50.00
155,1810,Precinct Committee Officer,PRECINCT,SHL 32-0474,Precinct Committee Officer - Democratic,98,360,27.22,1,Abe Bender,I affirm I am a Democrat.,22,50.00
28,280,State,Legislative,Legislative District No. 31,Representative Position No. 2,3157,12923,24.43,14,Write-in,,3,0.10
28,280,State,Legislative,Legislative District No. 31,Representative Position No. 2,3157,12923,24.43,1,Bill Thomas,(Prefers Democratic Party),250,8.31
28,280,State,Legislative,Legislative District No. 31,Representative Position No. 2,3157,12923,24.43,3,Brian L. Gunn,(Prefers Democratic Party),1038,34.49
28,280,State,Legislative,Legislative District No. 31,Representative Position No. 2,3157,12923,24.43,4,Brandon Beynon,(Prefers Republican Party),633,21.03
28,280,State,Legislative,Legislative District No. 31,Representative Position No. 2,3157,12923,24.43,2,Joshua Penner,(Prefers Republican Party),1086,36.08
45,450,State,Legislative,Legislative District No. 45,Representative Position No. 2,25627,97930,26.17,2,Melissa Demyan,(Prefers Democratic Party),9744,45.37
45,450,State,Legislative,Legislative District No. 45,Representative Position No. 2,25627,97930,26.17,12,Write-in,,682,3.18
